month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202203,massachusetts,ma,699450,0.0138,0.0762,4787,0.0657,-0.2849,27,-0.25,-0.1563,6788,0.3362,-0.1434,232,0.1837,-0.1594,768,0.1636,-0.2672,2729,0.319,-0.114,412,0.034,0.121,1715,0.0029,-0.0308,1343501,0.0171,0.1094,7580,0.1509,-0.2246,0.5701,0.1095,0.11,0
202203,north dakota,nd,287391,0.0748,0.1525,1352,0.0181,-0.2084,27,-0.7097,-0.64,748,0.2065,-0.2336,132,0.375,0.2692,192,0.1163,-0.3043,1146,0.6232,0.0822,136,0.0508,0.1419,2074,-0.0119,-0.0196,341376,0.1082,0.1599,2495,0.2351,-0.1015,0.8476,0.316,0.2276,1
202203,hawaii,hi,768500,0.0186,0.1943,2358,-0.0288,-0.3057,50,-0.1,-0.3963,1660,-0.0879,-0.0568,108,0.0385,-0.069,408,0.0737,-0.1207,2905,0.0503,-0.1116,691,-0.0061,0.1078,1174,0.0143,0.1014,1704845,9.00E-04,0.1221,5271,0.0146,-0.2093,1.232,0.0928,0.2691,0
202203,maine,me,365500,0.0446,0.1888,1553,-0.0449,-0.3262,57,-0.343,-0.311,1116,0.1529,-0.2314,88,0.4667,-0.1538,208,0.5294,-0.1186,582,-0.0521,-0.3782,218,0.0409,0.1619,1639,0.0111,-0.0203,548692,0.0561,0.1552,2133,-0.0473,-0.3419,0.3748,-0.0029,-0.0313,0
202203,maryland,md,374750,0.0633,0.0707,5395,0.0327,-0.1193,33,-0.1951,-0.1646,8016,0.19,-0.0981,1224,0.2289,-0.3061,1636,0.2065,0.0149,10317,0.0916,-0.1483,210,0.0089,0.0716,1777,0.0386,-0.005,516436,0.0386,0.0106,15631,0.0649,-0.143,1.9123,0.1032,-0.0651,0
202203,new jersey,nj,449900,0.0248,0.002,13674,0.0463,-0.2343,29,-0.1944,-0.2055,12868,0.1793,-0.1213,672,0.2824,-0.0769,1752,0.2338,-0.27,15104,0.2477,0.0186,248,0.0073,0.0919,1615,0.0028,-0.0632,723762,0.0186,0.0624,28778,0.1452,-0.1201,1.1046,0.1783,0.2742,0
202203,delaware,de,452500,0.0297,0.22,1310,0.0389,-0.0224,45,-0.3862,-0.4671,1432,0.2177,0.0377,404,0.2785,-0.1513,280,0.25,0.2963,2475,0.0966,-0.1183,208,0.0406,0.1669,2175,0.0014,0.0807,554087,0.0431,0.119,3790,0.0746,-0.0841,1.8893,0.0995,-0.2055,0
202202,arkansas,ar,225000,0.0227,0.1256,4450,-0.0692,-0.1635,62,-0.0606,-0.2,3140,0.0384,0.0979,152,-0.1556,-0.3214,808,-0.1404,0.2096,5050,0.107,0.3131,119,0.013,0.1291,1841,-0.0049,-0.0338,347467,0.011,0.1712,9504,0.0128,0.033,1.1348,0.1806,0.4119,0
202202,washington,wa,587425,0.0492,0.1496,4313,0.0393,-0.15,32,-0.37,-0.1818,8040,0.3027,0.0652,848,0.1099,-0.2206,848,-0.0093,-0.0742,10179,0.1929,-0.2052,313,0.0431,0.1156,1900,0.0013,0.0492,830177,0.0444,0.0755,14500,0.1433,-0.1889,2.3601,0.3039,-0.164,0
202202,indiana,in,247000,0.0739,0.2198,5408,-0.169,-0.1003,48,-0.1429,-0.2381,5356,0.0602,0.0877,320,0.0256,-0.1111,1396,-0.2789,0.0387,5538,0.1025,-0.0888,132,0.0488,0.1885,1800,-0.0011,0,328777,0.0464,0.1204,10947,-0.0426,-0.1006,1.024,0.2522,0.0129,0
